init_type,sel_type,cross_type,mut_type,term_type,fitness_func,avg_fit_score,std_fit_score,max_fit_score,min_fit_score,avg_gens
uniform,rws,2_parent_average,gaussian,convergence,booth,0.05334209280488066,0.10604263933222198,0.5749205487443375,1.544757767120947e-05,19.48
uniform,tournament,two_point,uniform,generations,booth,0.053415839838639,0.07521371507800673,0.4090600725002498,2.7680730032862577e-05,50.0
gaussian,tournament,binary_mask,uniform,generations,booth,0.05417399348674893,0.0853392938312723,0.6357782301673933,0.00015764522753747138,50.0
uniform,rws,two_point,uniform,generations,booth,0.054277157653784804,0.08483503791153102,0.6249142684734188,0.00010650689983618034,50.0
gaussian,rws,two_point,uniform,generations,booth,0.05460859551501945,0.10218801263934552,0.8201125674805908,9.386579767808837e-05,50.0
gaussian,rws,2_parent_average,swap,generations,spherical,0.05636911781643773,0.19396997744522548,1.2564195883288405,2.0697439405481882e-16,50.0
gaussian,rws,binary_mask,uniform,generations,himmelblau,0.05783487757683689,0.0912626427654288,0.6571169165540922,5.923341221418384e-05,50.0
uniform,rws,binary_mask,uniform,generations,himmelblau,0.058666796984967115,0.07255885304664603,0.3721831045888343,0.00015179463561190392,50.0
uniform,rws,binary_mask,uniform,generations,booth,0.05979861860440296,0.09441105447278621,0.5792953702860222,6.13225753004795e-05,50.0
uniform,rws,2_parent_average,uniform,convergence,booth,0.060668746170443474,0.09598168452685582,0.45202300853784905,1.7990216132096428e-05,18.97
uniform,rws,binary_mask,gaussian,generations,booth,0.061583762368077756,0.2123454598674428,2.052919614258802,0.0003144461952492779,50.0
uniform,tournament,2_parent_average,uniform,convergence,booth,0.061697694154922864,0.10565918597029089,0.518608604808342,1.9763262190978743e-07,19.18
gaussian,rws,centroid,swap,convergence,spherical,0.062093615770916155,0.17419187530857339,1.0356315082501808,2.314394589968549e-13,31.63
uniform,tournament,two_point,uniform,generations,himmelblau,0.06373190666533023,0.06899246534990357,0.3860926444653484,0.0006093337353974405,50.0
gaussian,rws,centroid,swap,generations,spherical,0.06427699253194144,0.15681402519201168,0.9854442921444074,4.599337098335922e-19,50.0
gaussian,tournament,binary_mask,uniform,generations,himmelblau,0.06454048407764174,0.08709750255241883,0.49339032587518705,9.687401612517649e-05,50.0
gaussian,rws,2_parent_average,gaussian,convergence,himmelblau,0.06521438111233696,0.09664112013770951,0.47743153209277617,1.823339919136063e-06,23.56
uniform,rws,centroid,gaussian,generations,booth,0.06668489025800008,0.31011460977886823,3.0159694053560857,5.490062878237611e-07,50.0
uniform,rws,centroid,gaussian,convergence,booth,0.06755998473838835,0.11094451182166518,0.580579705896678,5.070700360338812e-07,19.43
uniform,tournament,centroid,gaussian,convergence,booth,0.06878329597069131,0.12131795680165058,0.5737794849105906,4.253110408392305e-06,19.84
gaussian,tournament,centroid,swap,generations,spherical,0.06929092006345773,0.14023129631954812,0.9617634640663839,1.4971801002940556e-11,50.0
uniform,tournament,binary_mask,uniform,generations,himmelblau,0.06951568367030969,0.10454209524844664,0.6584884073199888,8.571665075011276e-05,50.0
uniform,tournament,centroid,uniform,convergence,booth,0.06957742981370636,0.11949936888377818,0.5314626008061414,4.2265223518646864e-07,19.55
gaussian,tournament,centroid,swap,convergence,spherical,0.06967684645989312,0.16642300340402655,0.8845321499929091,1.4008209829832206e-09,36.49
gaussian,tournament,centroid,gaussian,convergence,booth,0.07154593343465447,0.11113080657873017,0.5336575412104116,1.3863628019369773e-07,17.82
gaussian,rws,two_point,uniform,generations,himmelblau,0.07418536609857096,0.09985537034531315,0.6152345950326291,1.0771761407871036e-06,50.0
gaussian,tournament,two_point,uniform,generations,himmelblau,0.0755097085474609,0.11517999873426818,0.7389892826760928,7.952947077064128e-05,50.0
gaussian,rws,centroid,gaussian,convergence,booth,0.07603083491666213,0.11539405771357507,0.5031953230866768,1.4915270338959416e-06,19.04
gaussian,tournament,centroid,uniform,convergence,booth,0.07687244420918204,0.11139791343359827,0.46883194055508276,1.3435922444141426e-05,18.47
uniform,rws,centroid,uniform,convergence,booth,0.07774138595565519,0.12178323164526582,0.5791137406895506,3.1948918147594123e-06,19.0
gaussian,rws,centroid,gaussian,convergence,himmelblau,0.07819006241546203,0.10245815633072831,0.44921760848567627,4.6982440513386285e-06,27.1
gaussian,tournament,centroid,gaussian,convergence,himmelblau,0.07874124107505044,0.10101882516729882,0.5536667198094399,4.446110487062883e-05,22.5
uniform,tournament,2_parent_average,gaussian,convergence,booth,0.07877897784678309,0.12625390302727274,0.500363933104591,4.839287253656743e-07,19.57
uniform,rws,two_point,uniform,generations,himmelblau,0.07902274872189868,0.10532848181027049,0.5756501064596711,0.00035177855532527623,50.0
gaussian,rws,two_point,gaussian,convergence,booth,0.08053704551932389,0.08705076034000218,0.4390937999284789,0.0010358025488339101,19.16
gaussian,rws,2_parent_average,uniform,convergence,himmelblau,0.0827360511447825,0.11656134665639208,0.459695332052122,6.662193061394907e-05,24.12
uniform,rws,2_parent_average,gaussian,convergence,himmelblau,0.08351528390052348,0.11568287654613568,0.5221959745249156,1.604734917956383e-05,21.33
gaussian,tournament,2_parent_average,gaussian,convergence,himmelblau,0.08429640851841651,0.11152079335589705,0.44746896266000336,0.00010303031571563889,21.96
gaussian,rws,centroid,uniform,convergence,himmelblau,0.08508959761211919,0.11323084384123212,0.574640150651408,9.35723849616808e-09,24.63
gaussian,tournament,binary_mask,gaussian,convergence,booth,0.08680851027833889,0.10199262211793322,0.44358450532586696,0.00010219972676829126,18.81
gaussian,rws,binary_mask,gaussian,convergence,booth,0.0909777011095413,0.09433596381916448,0.45942397868853524,0.0005240993348857523,19.55
uniform,rws,centroid,gaussian,convergence,himmelblau,0.09170556904800257,0.1079715631471772,0.44033935476028485,0.00033531407007697257,22.4
gaussian,tournament,binary_mask,uniform,convergence,booth,0.09825967844107593,0.1136748392082027,0.5483259356472902,0.0016756374587979924,18.55
uniform,tournament,2_parent_average,uniform,convergence,himmelblau,0.09942392635185086,0.1121058663636084,0.510699071451647,4.59117577085782e-06,22.34
uniform,tournament,2_parent_average,swap,generations,spherical,0.0994346148967945,0.287618554621767,1.9827627507313215,9.34735028009811e-16,50.0
uniform,rws,two_point,gaussian,convergence,booth,0.10025074897502793,0.0988971152787243,0.42683771202862664,2.9113741996608074e-05,23.6
gaussian,tournament,two_point,gaussian,convergence,booth,0.10379375589699155,0.11915967393052156,0.5451082707954851,0.0002038771073189913,19.55
uniform,tournament,2_parent_average,gaussian,convergence,himmelblau,0.1048675377425573,0.10879033420124636,0.4659612177070792,0.00010931866911233085,20.4
uniform,tournament,centroid,gaussian,convergence,himmelblau,0.10486945992995043,0.1296047453439964,0.5600712040571666,5.517818980136064e-06,20.81
gaussian,rws,binary_mask,uniform,convergence,booth,0.1060631051216092,0.11066518911032765,0.5103075084096098,0.00015756291621110948,18.85
gaussian,tournament,2_parent_average,uniform,convergence,himmelblau,0.10613144540235687,0.12272572523992482,0.5527776398984257,1.6324150329957123e-05,21.56
gaussian,tournament,binary_mask,gaussian,convergence,himmelblau,0.11148334626730437,0.11391696716833412,0.5135475288556717,0.0008110951720165109,21.83
uniform,tournament,2_parent_average,gaussian,generations,rastrigin,0.11215936580880666,0.20252656891339635,1.0515116287171296,3.2811550127576083e-05,50.0
gaussian,tournament,two_point,gaussian,convergence,himmelblau,0.11624905186181361,0.1083847734733607,0.48505401264759707,0.0001137160231068327,21.56
gaussian,tournament,centroid,uniform,convergence,himmelblau,0.11669115397485591,0.14030602806481204,0.5990757554137968,1.6641382733227034e-05,24.59
gaussian,rws,binary_mask,swap,convergence,spherical,0.11767970526355441,0.1874678965375885,0.9259465372599385,5.7848699688714645e-08,36.53
gaussian,rws,two_point,uniform,convergence,booth,0.11877914621214282,0.1170920076347936,0.523537915555967,0.0019980443928610913,19.58
gaussian,rws,two_point,gaussian,convergence,himmelblau,0.11954328075825872,0.09222275679162002,0.43348626183300953,0.0007562830220024141,23.01
uniform,tournament,binary_mask,gaussian,convergence,himmelblau,0.1228493484488681,0.1148496016504057,0.4632310943106267,0.004478322155040244,20.65
uniform,rws,binary_mask,gaussian,convergence,himmelblau,0.1234711102494473,0.11709371304826437,0.5618344049870267,5.99933218716606e-05,22.12
gaussian,rws,binary_mask,gaussian,convergence,himmelblau,0.12370664491684165,0.12280465034157902,0.5057837586518757,0.0038090610719934744,22.66
uniform,tournament,two_point,gaussian,convergence,himmelblau,0.1238125303201012,0.12450735531100506,0.57753346688796,0.000265564130026191,20.84
uniform,tournament,two_point,gaussian,convergence,booth,0.12533326132087877,0.1201411477566986,0.420527868164134,9.773056264762172e-06,23.6
gaussian,rws,2_parent_average,gaussian,convergence,rastrigin,0.12555162003573295,0.1306982038445283,0.5443448784172915,6.462244576255216e-05,34.77
uniform,tournament,two_point,uniform,convergence,booth,0.1277885583768109,0.13238079654104712,0.495438870918973,0.0007604153831711994,22.54
uniform,rws,2_parent_average,uniform,convergence,himmelblau,0.12900320562740025,0.14531358643747366,0.5674657716356619,7.477639595015795e-05,24.04
uniform,tournament,binary_mask,gaussian,convergence,booth,0.1302347078329614,0.116881624246814,0.4645324677313103,0.0015316832235146424,22.89
uniform,rws,binary_mask,uniform,convergence,booth,0.13091905803085394,0.12656448040332244,0.562348661538893,0.0002461046188626361,22.62
uniform,rws,binary_mask,gaussian,convergence,booth,0.13406427060936438,0.12971154477924218,0.5518396282136555,0.000290034781177926,25.89
uniform,rws,two_point,gaussian,convergence,himmelblau,0.1374227369407035,0.13000305072846421,0.5282785859260505,0.0008440923702696041,21.76
gaussian,tournament,2_parent_average,gaussian,generations,rastrigin,0.14036085861979952,0.27210050160477156,1.316902675663485,1.3602363004849849e-05,50.0
uniform,rws,centroid,uniform,convergence,himmelblau,0.1423972445240871,0.1426292294850547,0.5753606227046838,0.00032616965659689183,23.81
uniform,tournament,centroid,uniform,convergence,himmelblau,0.14361801534065122,0.13375748478963875,0.527524274669137,6.632530387094366e-06,23.11
gaussian,tournament,two_point,uniform,convergence,booth,0.14389540624242816,0.1490530873453418,0.5807473723416086,0.0009462566782723593,19.57
uniform,rws,two_point,uniform,convergence,booth,0.1449642862056427,0.14911545300591372,0.587515121162292,0.00020469512239641653,22.73
gaussian,rws,two_point,swap,generations,spherical,0.1455885580639624,0.22449458701054412,1.233558933717147,2.8194831592676796e-06,50.0
uniform,tournament,binary_mask,uniform,convergence,booth,0.14562497278386285,0.1407495161967314,0.49226800961932793,6.388217914187986e-05,23.11
uniform,rws,2_parent_average,uniform,convergence,rastrigin,0.14579354491878005,0.13445074192708828,0.5940411857621903,9.160356527360136e-05,39.32
uniform,rws,two_point,uniform,convergence,himmelblau,0.1469090119407222,0.13137419373638515,0.5842018950176397,0.0016028564747516403,24.9
gaussian,tournament,centroid,uniform,convergence,rastrigin,0.1488497324197722,0.15234747823778103,0.5826728428122294,2.2599619150298622e-05,37.3
uniform,rws,2_parent_average,swap,convergence,spherical,0.1515342054972094,0.5678843467617437,5.0649485765163895,1.3126203972036405e-09,36.49
